,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
180,marieville,40,CA,1569884029,58,45.43,-73.16,55.99,5.82
181,lavrentiya,67,RU,1569884029,86,65.58,-170.99,37.24,7.9
182,padang,100,ID,1569884029,85,-0.92,100.36,78.1,10.38
183,sabang,100,PH,1569884029,91,13.8,121.11,78.01,1.19
184,ponta do sol,83,BR,1569884030,96,-0.53,-65.05,73.95,2.64
185,thompson,90,CA,1569883719,48,55.74,-97.86,39.2,5.82
186,half moon bay,40,LR,1569884030,94,6.38,-10.7,78.8,6.69
187,springville,1,US,1569883816,21,40.17,-111.61,61.0,13.87
188,mandalgovi,57,MN,1569884031,53,45.76,106.27,53.8,5.75
189,hasaki,75,JP,1569883695,88,35.73,140.83,69.8,6.93
190,komsomolskiy,100,RU,1569883820,95,67.55,63.78,30.4,10.22
191,bonthe,26,SL,1569883612,92,7.53,-12.5,76.65,5.35
192,egvekinot,85,RU,1569883988,83,66.32,-179.17,32.37,12.68
193,nanning,0,CN,1569884032,88,22.83,108.3,69.8,1.16
194,mount gambier,75,GB,1569884032,93,53.66,-1.85,55.4,12.75
195,barraute,90,CA,1569883907,62,48.43,-77.63,51.8,4.7
196,lebyazhye,90,RU,1569884033,93,59.96,29.42,53.01,6.71
197,seda,58,LT,1569884033,76,56.17,22.09,55.4,11.41
198,warrnambool,0,AU,1569884034,100,-38.38,142.48,53.01,1.99
199,barrow,100,AR,1569883512,53,-38.31,-60.23,52.54,6.51
200,ancud,75,CL,1569883698,70,-41.87,-73.83,42.8,12.75
201,tuy hoa,75,PH,1569884034,83,14.02,120.73,82.4,2.24
202,goure,84,NE,1569884035,56,13.98,10.27,84.99,1.99
203,puerto narino,40,AR,1569884035,69,-51.62,-69.23,37.4,9.17
204,aklavik,75,CA,1569883329,71,68.22,-135.01,51.8,2.24
205,tuatapere,58,NZ,1569884036,68,-46.13,167.69,46.99,4.0
206,lumphat,67,KH,1569884036,96,13.5,106.97,74.67,2.89
207,comodoro rivadavia,100,BR,1569884036,89,-13.66,-59.79,71.44,3.6
208,macau,60,BR,1569883938,76,-5.11,-36.64,76.3,23.71
209,cambui,0,BR,1569884037,63,-22.61,-46.06,59.0,5.01
210,payo,100,ID,1569884037,76,-3.75,103.64,66.57,3.71
211,sayyan,13,YE,1569884037,70,15.17,44.32,69.45,1.03
212,riyadh,20,SA,1569883902,22,24.63,46.72,89.6,2.24
213,hami,37,CN,1569884038,37,42.84,93.51,59.74,14.5
214,laranjeiras,40,BR,1569884038,69,-10.8,-37.17,78.8,10.29
215,takoradi,78,GH,1569884038,96,4.89,-1.75,74.5,2.68
216,yulara,35,AU,1569883661,15,-25.24,130.99,73.4,8.05
217,grand river south east,0,FR,1569884039,81,48.39,5.49,57.2,8.05
218,magdalena,75,PH,1569884039,83,14.2,121.43,82.4,2.24
219,benguela,88,AO,1569884039,87,-12.58,13.4,70.72,9.8
220,russell,1,US,1569884040,48,38.9,-98.86,87.8,27.51
221,buala,85,SB,1569884040,74,-8.15,159.59,83.5,12.19
222,oyan,100,NG,1569884040,98,8.05,4.77,70.72,4.09
223,yuryuzan,78,RU,1569884041,82,54.87,58.43,33.27,5.39
224,dasoguz,0,TM,1569884041,60,41.84,59.97,50.0,4.7
225,analipsis,0,GR,1569884041,55,35.32,25.57,71.01,6.93
226,ilulissat,81,GL,1569883508,55,69.22,-51.1,39.2,4.7
227,mayahi,81,NE,1569884042,58,13.95,7.67,83.67,3.78
228,fairbanks,90,US,1569883904,76,64.84,-147.72,50.0,3.36
229,robertsport,1,LR,1569884042,92,6.75,-11.37,76.3,6.13
230,rocha,86,UY,1569884043,95,-34.48,-54.34,62.25,2.86
231,acapulco,75,MX,1569884043,69,16.86,-99.88,82.4,9.17
232,hearst,100,CA,1569884043,96,49.69,-83.67,41.92,8.9
233,heihe,75,RU,1569884044,100,50.24,127.51,33.8,4.47
234,tevriz,100,RU,1569884044,93,57.51,72.4,38.32,6.73
235,zhezkazgan,0,KZ,1569884044,48,47.8,67.71,36.15,9.01
236,arraial do cabo,0,BR,1569884045,47,-22.84,-46.65,77.0,14.99
237,kondinskoye,84,RU,1569884045,86,59.65,67.41,35.44,10.33
238,tezu,99,IN,1569884045,93,27.93,96.16,68.02,1.05
239,taoudenni,0,ML,1569884046,11,22.68,-3.98,92.67,12.12
240,chara,0,GR,1569883721,68,39.42,22.43,64.4,3.36
241,axim,97,GH,1569884046,91,4.87,-2.24,76.65,7.43
242,rio grande,1,US,1569883871,58,41.11,-90.4,87.8,16.11
243,pontalina,2,BR,1569884047,32,-17.52,-49.45,80.62,6.31
244,rawson,70,AR,1569884047,25,-43.3,-65.11,48.94,10.65
245,apache junction,75,US,1569884047,62,34.89,-98.37,87.8,14.99
246,bethel,90,US,1569883458,76,60.79,-161.76,50.0,3.36
247,waingapu,2,ID,1569884048,64,-9.65,120.26,78.45,12.91
248,greymouth,5,NZ,1569884048,65,-42.45,171.21,48.22,7.11
249,port macquarie,29,CD,1569884008,84,-7.04,29.76,65.67,2.8
250,ixtapa,90,MX,1569883786,66,20.71,-105.21,84.2,3.36
251,valence,0,FR,1569884049,87,44.93,4.89,60.01,4.7
252,avera,90,US,1569884049,83,33.19,-82.53,95.0,5.82
253,lovington,98,US,1569884049,56,32.94,-103.35,84.0,8.99
254,ahuimanu,90,US,1569884050,83,21.44,-157.84,87.8,11.41
255,vestmannaeyjar,50,IS,1569883514,85,63.44,-20.27,47.5,13.38
256,namibe,71,AO,1569883603,86,-15.19,12.15,64.05,8.9
257,saskylakh,90,RU,1569884050,94,71.97,114.09,23.37,7.2
258,tongren,0,CN,1569884052,57,27.72,109.18,67.65,1.99
259,astana,0,KZ,1569884052,76,51.13,71.43,32.0,4.47
260,antalaha,88,MG,1569884053,99,-14.9,50.28,67.84,2.01
261,sennoy,100,RU,1569884053,61,52.16,46.96,52.0,16.8
262,nishihara,40,JP,1569883494,77,35.74,139.53,78.01,3.36
263,pacific grove,90,US,1569884053,35,47.26,-122.25,60.01,6.02
264,atuona,8,PF,1569884054,74,-9.8,-139.03,79.54,16.17
265,chowchilla,1,US,1569884054,28,37.12,-120.26,75.99,8.05
266,champerico,75,MX,1569883977,55,16.38,-93.6,87.8,10.29
267,olga,1,US,1569883912,43,34.11,-118.17,73.99,6.93
268,labuhan,100,ID,1569883664,68,-2.54,115.51,78.64,1.32
269,saldanha,38,PT,1569884003,86,41.42,-6.55,62.97,3.4
270,concepcion del oro,92,CO,1569884055,92,9.56,-73.66,77.2,4.34
271,formosa,82,BR,1569884055,42,-15.55,-47.33,76.12,6.96
272,vanavara,66,RU,1569884056,80,60.35,102.28,26.07,3.49
273,tiznit,93,MA,1569883775,64,29.7,-9.73,72.34,4.7
274,provideniya,90,RU,1569883555,93,64.42,-173.23,42.8,6.71
275,ashland,1,US,1569884057,51,38.48,-82.64,91.4,1.54
276,scarborough,100,GB,1569884057,100,54.28,-0.41,53.01,11.41
277,monte alegre,20,FR,1569884057,88,42.47,9.39,73.4,5.82
278,vostok,56,RU,1569883704,78,46.45,135.83,60.45,4.85
279,kavaratti,67,IN,1569884058,74,10.57,72.64,79.9,2.71
280,champasak,9,LA,1569884058,85,14.89,105.88,75.22,3.44
281,novosheshminsk,100,RU,1569884059,76,55.06,51.22,47.32,15.86
282,laguna,75,BZ,1569884029,66,16.17,-88.94,89.6,4.7
283,lagoa,0,PT,1569884059,100,37.14,-8.45,64.99,5.82
284,khandbari,79,NP,1569883898,93,27.38,87.21,49.12,1.34
285,vrede,23,ZA,1569884060,88,-27.43,29.16,41.55,9.15
286,marmande,0,FR,1569884051,93,44.5,0.16,62.01,3.36
287,hirara,75,JP,1569884061,83,24.8,125.28,82.4,27.51
288,lichinga,25,MZ,1569884061,69,-13.3,35.25,71.62,1.63
289,rosario,26,UY,1569884061,89,-34.31,-57.35,63.0,1.01
290,pastos bons,40,PR,1569884062,70,18.12,-66.26,84.2,5.21
291,baculin,83,PH,1569884062,63,7.45,126.58,80.62,2.8
292,seoul,40,KR,1569883561,100,37.57,126.98,62.6,2.24
293,gamba,49,CN,1569884063,80,28.28,88.52,32.37,2.84
294,sapa,75,PH,1569884063,83,14.32,120.76,82.4,2.24
295,khasan,0,RU,1569884063,66,42.43,130.64,67.65,2.24
296,otukpo,64,NG,1569884063,97,7.19,8.13,73.42,4.72
297,port hedland,29,CD,1569883982,84,-7.04,29.76,65.67,2.8
298,slavsk,49,RU,1569884064,70,55.05,21.68,52.35,19.48
299,dingle,100,PH,1569883640,76,11.0,122.67,80.62,1.32
300,kindu,100,CD,1569884065,96,-2.95,25.92,69.82,1.07
301,dauriya,63,RU,1569884065,67,49.93,116.85,55.05,15.21
302,comarapa,0,BO,1569884065,62,-17.91,-64.53,65.67,2.95
303,tautira,20,PF,1569884066,70,-17.73,-149.15,84.2,9.17
304,karratha,0,AU,1569884066,14,-20.74,116.85,86.74,9.89
305,klyuchi,27,RU,1569884066,71,52.25,79.17,32.55,3.53
306,biloela,3,AU,1569884067,43,-24.4,150.51,79.54,11.68
307,brandon,1,US,1569883777,64,43.59,-96.57,77.0,16.11
308,sibolga,100,ID,1569884067,79,1.74,98.78,78.82,1.41
309,yurimaguas,20,PE,1569884068,74,-5.9,-76.1,84.2,4.7
310,synya,100,RU,1569884068,95,65.37,58.04,42.27,8.86
311,babina,97,IN,1569884068,83,25.24,78.47,73.6,4.9
312,vila franca do campo,0,IT,1569884069,100,45.18,8.4,66.0,2.24
313,san patricio,67,ML,1569884010,40,13.3,-4.9,86.55,9.24
314,puerto del rosario,40,AR,1569884004,69,-51.62,-69.23,37.4,9.17
315,camacha,40,PT,1569883579,72,33.08,-16.33,69.8,5.82
316,ranfurly,100,CA,1569884070,72,53.41,-111.68,36.7,4.88
317,china,40,MX,1569884070,55,25.71,-99.24,88.72,18.25
318,ananas,100,HT,1569884070,90,19.25,-71.96,73.77,0.29
319,hobyo,21,SO,1569884071,92,5.35,48.53,75.04,9.55
320,gigmoto,100,PH,1569884071,72,13.78,124.39,83.67,5.23
321,kattivakkam,20,IN,1569884071,94,13.22,80.32,78.8,6.08
322,buin,90,CL,1569883969,76,-33.73,-70.74,51.8,9.17
323,awjilah,0,LY,1569883928,78,29.14,21.3,70.35,10.29
324,bandarbeyla,98,SO,1569883727,80,9.49,50.81,75.57,7.61
325,jumla,69,NP,1569883972,93,29.28,82.18,45.34,2.1
326,nyurba,100,RU,1569884072,90,63.29,118.35,28.42,5.03
327,kishi,100,NG,1569884073,89,9.08,3.85,72.7,7.27
328,rio gallegos,1,US,1569883871,58,41.11,-90.4,87.8,16.11
329,chumikan,74,RU,1569884073,68,54.72,135.31,41.2,4.45
330,pychas,100,RU,1569884074,84,56.5,52.44,46.0,5.01
331,praia,0,BR,1569884074,53,-20.25,-43.81,77.0,13.87
332,kudahuvadhoo,100,MV,1569884074,80,2.67,72.89,79.9,14.61
333,north bend,86,NG,1569884075,95,4.97,7.66,73.95,3.69
334,ratnagiri,100,IN,1569884075,76,16.98,73.3,81.34,3.65
335,chichigalpa,40,NI,1569884075,74,12.57,-87.03,87.8,4.7
336,muros,90,ES,1569884076,88,42.77,-9.06,69.01,4.7
337,fort nelson,100,IN,1569884076,92,17.96,79.61,73.24,8.03
338,longonjo,67,AO,1569884076,95,-12.91,15.25,58.3,1.92
339,davila,75,PH,1569884077,100,18.47,120.58,77.0,3.36
340,bonavista,100,CA,1569883957,88,48.65,-53.11,44.01,15.99
341,jalu,0,LY,1569884077,72,29.03,21.55,71.97,9.91
342,coquimbo,20,CL,1569883803,71,-29.95,-71.34,57.2,10.29
343,sioux lookout,90,US,1569884078,93,46.74,-90.88,68.0,3.36
344,price,1,US,1569884052,10,39.6,-110.81,64.4,12.75
345,merauke,66,ID,1569883915,83,-8.49,140.4,79.17,17.96
346,celestun,28,MX,1569884078,80,20.87,-90.4,82.24,25.1
347,vila velha,0,IT,1569884069,100,45.18,8.4,66.0,2.24
348,itarema,11,BR,1569883737,80,-2.92,-39.92,75.04,10.02
349,leningradskiy,99,RU,1569884079,64,69.38,178.42,36.87,3.13
350,sompeta,79,IN,1569884080,82,18.93,84.6,75.04,3.0
351,severo-yeniseyskiy,57,RU,1569884080,95,60.37,93.04,25.54,3.09
352,dergachi,84,RU,1569884080,71,51.24,48.77,50.2,12.71
353,alta floresta,75,NO,1569884081,75,69.97,23.27,41.0,19.46
354,isla mujeres,89,MX,1569884081,73,18.03,-95.53,86.0,5.99
355,sembakung,99,ID,1569884081,92,3.82,117.25,76.84,1.59
356,lamar,1,US,1569884082,22,38.09,-102.62,96.8,28.86
357,taltal,14,CL,1569884082,89,-25.41,-70.49,51.64,0.89
358,poum,0,MK,1569884082,87,41.28,20.71,51.8,2.24
359,amga,100,RU,1569884082,81,60.89,131.98,34.17,4.23
360,enterprise,1,US,1569884083,7,36.05,-115.22,77.0,10.29
361,atherton,0,AU,1569884083,61,-17.27,145.48,80.01,8.05
362,kupang,9,ID,1569884083,72,-10.16,123.6,76.47,5.91
363,gitega,7,BI,1569884084,89,-3.43,29.93,58.3,1.36
364,narino,40,CO,1569884084,88,5.61,-75.18,62.6,2.24
365,sitka,100,US,1569883648,64,37.17,-99.65,81.0,25.99
366,bastia,20,IT,1569884084,77,44.6,8.98,68.0,4.7
367,necochea,85,AR,1569884085,80,-38.55,-58.74,52.0,4.0
368,harper,40,US,1569884085,41,30.3,-99.24,91.4,10.29
369,guerrero negro,0,AR,1569884085,29,-24.19,-65.45,89.6,8.05
370,bud,100,NO,1569884086,81,62.91,6.91,46.4,12.75
371,kedrovyy,40,RU,1569884086,97,56.17,91.82,35.6,4.47
372,casper,1,US,1569884086,54,42.87,-106.31,55.4,10.29
373,bon accord,75,ES,1569884087,82,42.32,-8.8,69.01,3.36
374,balagansk,26,RU,1569884087,84,54.01,103.05,31.65,6.64
375,strathroy,40,CA,1569884087,73,42.96,-81.62,75.2,11.41
376,kawalu,99,ID,1569884088,76,-7.38,108.21,67.84,4.61
377,conde,0,BR,1569884088,94,-11.81,-37.61,68.55,3.2
378,benjamin aceval,95,US,1569884088,55,33.58,-99.79,90.0,8.01
379,ojinaga,1,US,1569883626,41,29.56,-104.41,91.4,9.17
380,pangai,75,TO,1569884089,83,-19.8,-174.35,78.8,11.41
381,babol,0,IR,1569884089,93,36.55,52.68,64.4,4.7
382,severo-kurilsk,37,RU,1569883646,76,50.68,156.12,45.52,15.37
383,buraydah,0,SA,1569884089,35,26.33,43.97,84.2,4.65
384,santa isabel,83,PH,1569884090,73,17.49,120.43,83.14,7.85
385,concordia,6,AR,1569884090,59,-31.4,-58.02,80.25,15.17
386,geraldton,90,CA,1569883937,100,49.72,-86.95,41.0,9.17
387,werda,0,BW,1569884091,36,-25.27,23.28,51.45,5.68
388,pauini,94,BR,1569884091,94,-7.71,-67.0,74.32,5.44
389,portland,75,US,1569883665,58,43.66,-70.25,55.0,8.05
